video_id,video_url,titre,chaine,publie_le,categorie_id,description,nb_vues,nb_likes,nb_commentaires,duree_iso,duree_secondes,langue,thematique
6YIX63-VRJo,https://www.youtube.com/watch?v=6YIX63-VRJo,Cours - Troisième - Physique / Chimie : Les hydrocarbures / Présentation,Ecoles Au Senegal,2020-05-30T12:10:47Z,27,"Le principe d’Ecoles au Sénégal est simple : offrir des cours sur le web en forma vidéo du système éducatif gratuitement aux élèves et autres internautes désireux apprendre. Cette démarche, qui étonne par son altruisme, semble aussi évidente que nécessaire.",72590,1729,45,PT10M54S,654,fr,physique_chimie
lXHC8lBSHdU,https://www.youtube.com/watch?v=lXHC8lBSHdU,La masse volumique - 3eme collège physique chimie,Les génies des sciences,2024-09-29T14:00:43Z,27,"Rejoignez cette chaîne pour bénéficier d'avantages exclusifs :
https://www.youtube.com/channel/UCmyeFnJJZE7mCtvbQ8IJitQ/join",11127,246,9,PT12M14S,734,fr,physique_chimie
zlyIYtWWCkg,https://www.youtube.com/watch?v=zlyIYtWWCkg,Énergie cinétique et vitesse | Collège | Lycée | Physique,Paul Olivier,2022-04-10T08:00:16Z,27,"🎯 Qu'est-ce que l'énergie cinétique et comment la calculer ?
✅ Calcul, unité, formule, joules, vitesse, masse, énergie mécanique, unité, conversion

Conversion d'une VITESSE : m/s ➡️ km/h 💡 Méthode : https://youtu.be/CkQOfpwo1dw

🔎 Chapitres 
00:00 | Intro
00:12 | Qu'est-ce que l'énergie cinétique ?",348816,7429,222,PT5M35S,335,fr,physique_chimie
YWsZ7-m5Qvk,https://www.youtube.com/watch?v=YWsZ7-m5Qvk,Vitesse et énergie cinétique - Physique-Chimie - 3e - Les Bons Profs,Les Bons Profs,2018-12-30T09:30:04Z,27,"Retrouvez TOUTES les vidéos de Physique-Chimie sur notre site https://www.lesbonsprofs.com/

Où nous trouver ?

SITE DE REVISIONS LES BONS PROFS ► https://www.lesbonsprofs.com/

CHAINE LES BONS PROFS SUPERIEUR ► https://www.youtube.com/channel/UCFdxIWBWur1fR_hp30HMKRA

FACEBOOK ► https://www.faceboo",295030,6489,376,PT4M26S,266,fr,physique_chimie
v5BLvvsJRN0,https://www.youtube.com/watch?v=v5BLvvsJRN0,Acides et bases - Physique-Chimie - 3e - Les Bons Profs,Les Bons Profs,2018-01-21T09:00:04Z,27,"Retrouve l'intégralité de nos vidéos et entraîne toi sur notre site https://www.lesbonsprofs.com

Où nous trouver ?

SITE DE REVISIONS LES BONS PROFS ► https://www.lesbonsprofs.com/

CHAINE LES BONS PROFS SUPERIEUR ► https://www.youtube.com/channel/UCFdxIWBWur1fR_hp30HMKRA

FACEBOOK ► https://www.fa",325836,6502,285,PT3M32S,212,fr,physique_chimie
sh1lTj46VBQ,https://www.youtube.com/watch?v=sh1lTj46VBQ,"PHYSIQUE CHIMIE - NIVEAU 3EME - EQUILIBRE D'UN SOLIDE SOUMIS A DEUX FORCES, CONDITIONS DE FLOTTAISON",BACADEMY,2022-03-26T21:29:34Z,22,"PHYSIQUE CHIMIE,  NIVEAU 3EME, EQUILIBRE D'UN SOLIDE SOUMIS A DEUX FORCES, COURS, CONDITIONS DE FLOTTAISON,",11009,201,11,PT33M54S,2034,fr,physique_chimie
nKDqcPWdrW4,https://www.youtube.com/watch?v=nKDqcPWdrW4,🔥 BREVET PHYSIQUE CHIMIE 💪 100 QUESTIONS ✅ QCM POUR RÉVISER,Paul Olivier,2024-06-23T09:00:40Z,27,"🎯 Réviser le BREVET de Physique - Chimie 2024
✅ QCM de 100 questions pour réviser le programme du collège !

🔎 Chapitres :
00:25 | ATOME & ION
03:50 | LES FORCES
06:58 | LA MASSE VOLUMIQUE
10:24 | PUISSANCE & ÉNERGIE ÉLECTRIQUE
13:51 | POIDS & MASSE
18:00 | LES SIGNAUX SONORES
21:20 | pH, ACIDE ET B",158133,4030,423,PT35M28S,2128,fr,physique_chimie
ZvTe0eqqm3A,https://www.youtube.com/watch?v=ZvTe0eqqm3A,Poids et masse - 3eme brevet physique chimie,Les génies des sciences,2024-08-17T15:29:44Z,27,"📈Le poids et la masse pour la classe de troisième. Parfait pour les révisions, les classes inversées, préparer le brevet, ...
❗masse, poids, p=mg, formule du poids, poids sur la lune, poids sur terre, mesurer une masse, calculer un poids, ...

Télécharge tes fiches de révision prêtes à imprimer sur ",8562,220,22,PT4M47S,287,fr,physique_chimie
ZvppwGr_j_g,https://www.youtube.com/watch?v=ZvppwGr_j_g,Transformation chimique - Physique-Chimie - 3e - Les Bons Profs,Les Bons Profs,2017-10-29T09:00:03Z,27,"Retrouve l'intégralité de nos vidéos et entraîne toi sur notre site https://www.lesbonsprofs.com

Où nous trouver ?

SITE DE REVISIONS LES BONS PROFS ► https://www.lesbonsprofs.com/

CHAINE LES BONS PROFS SUPERIEUR ► https://www.youtube.com/channel/UCFdxIWBWur1fR_hp30HMKRA

FACEBOOK ► https://www.fa",168506,2648,114,PT3M42S,222,fr,physique_chimie
J8Q24Q2x9d8,https://www.youtube.com/watch?v=J8Q24Q2x9d8,"Déterminer la COMPOSITION d'un ATOME | Physique-Chimie (collège, lycée)",Paul Olivier,2020-02-19T15:00:05Z,27,"🎯 Collège - Lycée
✅   Représentation symbolique du noyau de l'atome (A, X, Z)
✅   Modèle de l'atome
✅   Déterminer le nombre de protons, de neutrons, d'électrons qui constituent un atome

🔟/🔟 QCM corrigé pour t'entrainer :
https://docs.google.com/forms/d/e/1FAIpQLScUc8q7__SQCRCsNMsssm7Pwuoalqiph7W0q",759720,17656,469,PT5M31S,331,fr,physique_chimie
DuuIyS7cup8,https://www.youtube.com/watch?v=DuuIyS7cup8,La formation des ions : physique-chimie 3e,digiSchool Collège,2019-01-24T16:13:37Z,27,"Comment se forment les ions ? Qu'est-ce que les atomes, les neutrons, les protons et les électrons? Ou bien, quelle est la différence entre un anion et un cation ? Pour en savoir plus, regarde notre vidéo de physique-chimie pour réviser ton épreuve de sciences du brevet des collèges (DNB). 

https:/",221694,3920,181,PT2M21S,141,fr,physique_chimie
qP1ySsZDx80,https://www.youtube.com/watch?v=qP1ySsZDx80,Cours COMPLET sur les atomes et ions (3ème),Les génies des sciences,2024-04-06T15:00:41Z,27,"📈Les atomes et les ions. Parfait pour les révisions, les classes inversées, préparer le brevet, ...
❗atome, neutron, nucléon, proton, ion, cation, anion
Télécharge tes fiches de révision prêtes à imprimer sur mon site 🖨️:
▶ https://www.geniesdessciences.com/
Je propose également des cours particulie",118976,2099,111,PT6M31S,391,fr,physique_chimie
lIYs_23HSkE,https://www.youtube.com/watch?v=lIYs_23HSkE,Cours - Troisième - Physique / Chimie : Travail et puissance mécanique,Ecoles Au Senegal,2020-05-14T10:00:50Z,27,"Le principe d’Ecoles au Sénégal est simple : offrir des cours sur le web en forma vidéo du système éducatif gratuitement aux élèves et autres internautes désireux apprendre. Cette démarche, qui étonne par son altruisme, semble aussi évidente que nécessaire.",115668,2725,113,PT9M47S,587,fr,physique_chimie
YCe67GqTDpQ,https://www.youtube.com/watch?v=YCe67GqTDpQ,MASSE ET POUDS D'UN CORPS - PHYSIQUE-CHIMIE NIVEAU TROISIEME - CHAPITRE N°1 - VIDEO DE COURS N°,BACADEMY,2023-08-23T00:44:39Z,27,"Dans cette vidéo portant sur le chapitre  N°1 de physique-chimie  du niveau troisième en côte d'Ivoire, je vous parlerai de la masse d'un corps. Pour vous retrouver sur la chaîne visitez le site internet www.bacademy.ci où j'ai ordonné toutes les vidéos. Cela vous facilitera votre apprentissage et v",13990,378,28,PT8M29S,509,fr,physique_chimie
DwQiIF29TGs,https://www.youtube.com/watch?v=DwQiIF29TGs,PHYSIQUE CHIMIE - NIVEAU 3EME – LES ALCANES – COURS N°01,BACADEMY,2022-05-06T21:54:36Z,22,"PHYSIQUE CHIMIE - NIVEAU 3EME – LES ALCANES – COURS N°01
En troisième 3ème , dans les collèges et lycées de côte d’Ivoire, l’étude des alcanes qui constituent une sous famille des hydrocarbures fait partie du programme de physique-chimie. Cette leçon vous permettra d’identifier les hydrocarbures par",22823,468,26,PT13M36S,816,fr,physique_chimie
wrTqT6PBqUo,https://www.youtube.com/watch?v=wrTqT6PBqUo,Atome ou ion ? ✏️ Exercice | Troisième | Physique-Chimie,Paul Olivier,2021-01-10T09:00:15Z,27,"🎯 Comprendre la charge d'un ion à partir de sa composition
✅ atome, ion, proton, neutron, électron
👇 VIDÉOS SUR LE MÊME THÈME 👇 

▶️ Pourquoi un ion est-il chargé ? | Cours 3e
https://youtu.be/3okQp-SHmaw

▶️ Qu'est-ce qu'un ion ? Définitions | Cours 3e
https://youtu.be/Ot-_jkH5o_Y

📝Programme du cy",114004,2134,77,PT4M3S,243,fr,physique_chimie
hJ4y2B8ueUo,https://www.youtube.com/watch?v=hJ4y2B8ueUo,"Qu'est-ce que le pH ? Acide, basique, neutre | Collège | Physique Chimie",Paul Olivier,2022-01-16T09:00:30Z,27,"🎯 Qu'est-ce que le pH ? Que nous indique-t-il ? Comment le mesurer ?
✅ pH-mètre, papier pH, mesure, acidité, basique, neutre

🔎 Chapitres 
00:00 | Intro
00:17 | Qu'est-ce que le pH ?
01:40 | L'échelle de pH : acide, basique, neutre
03:26 | Comment mesurer le pH ?
04:44 | Fiche de révision - Carte me",249048,4494,246,PT5M39S,339,fr,physique_chimie
